Part Number;Req numero;Req status;Req data;qtd;Valor unitario;IGPM acumulado
DCN4-3832;LSE027003T9;Recebida no Solicitante;2011-01;200;6,00;1,69380428
DCN4-3832;LSD204006T9;Recebida no Solicitante;2010-07;50;3,12;1,78407904
DCN4-3832;LS3149205T9;Recebida no Solicitante;2003-05;100;0,48;2,62556800
DCN4-3832;LS2140059C3;Recebida no Solicitante;2002-05;25;0,10;3,49072735
DCN4-3832;LS1235036T9;Recebida no Solicitante;2001-11;100;0,10;3,57485630
DCN4-3832;LS1276576T9;Recebida no Solicitante;2001-10;30;1,80;3,61703960
DCN4-3832;LS0084508T9;Recebida no Solicitante;2000-04;40;0,96;4,20818890
DCN4-3951;LSC119020T9;Recebida no Solicitante;2009-04;100;129,00;1,87049571
DCN4-5224;GL3267062A5;Recebida no Solicitante;2003-09;200;1,60;2,66010880
DCN4-5667-4;SP4105302A1;Recebida no Solicitante;2004-04;60;3,42;2,52186664
DCN4-5667-4;SP2109354A1;Recebida no Solicitante;2002-04;60;4,60;3,51027543
DCN4-5667-4;SP1096323A1;Recebida no Solicitante;2001-04;250;2,30;3,83977647
DCN4-5163;GL3267061A5;Recebida no Solicitante;2003-09;100;0,90;2,66010880
DCN4-2702;RF3105015F3;Recebida no Solicitante;2003-04;600;25,40;2,64972323
DCN3-10115;RF0203015F3;Recebida no Solicitante;2000-07;5000;0,56;4,15027967
DCN2-9437;RF8109002R1;Recebida no Solicitante;1998-04;23;218,00;5,16544735
DCN3-4120-4-3-FACA;GDL117004AU;Recebida no Solicitante;2018-04;200;24,09;1,14244269
DCN4-6376;AFD123036A7;Recebida no Solicitante;2010-05;500;1,90;1,82065471
DCN4-6376;AFC308086GA;Recebida no Solicitante;2009-11;300;4,30;1,88255527
DCN4-6376;AFC286030A7;Recebida no Solicitante;2009-10;500;4,30;1,88349655
DCN4-6376;AFA073003A7;Recebida no Solicitante;2007-03;500;4,16;2,17586818
DCN4-6376;AF9093077GA;Recebida no Solicitante;1999-04;0;1,85;4,78642505
DCN4-4959;LSA107080U8;Recebida no Solicitante;2007-04;2500;0,40;2,16849530
DCN4-4959;CP3214007A7;Recebida no Solicitante;2003-08;5000;0,15;2,67021721
DCN4-4959;AF3214003A7;Recebida no Solicitante;2003-08;4872;0,19;2,67021721
DCN4-4959;AF3107242A7;Recebida no Solicitante;2003-04;128;0,09;2,64972323
DCN4-4959;AF0408477A7;Recebida no Solicitante;2000-09;1145;0,19;3,99074858
DCN4-4959;AF0404741A7;Recebida no Solicitante;2000-09;120;1,00;3,99074858
DCN4-5030;SP1081366A1;Recebida no Solicitante;2001-03;46;3,99;3,86127922
DCN1-10772;GL6301004CF;Recebida no Solicitante;2006-10;2;547,08;2,22658172
DCN4-10169;AF3107202A7;Recebida no Solicitante;2003-04;100;8,90;2,64972323
DCN3-5522;SP1095304A1;Recebida no Solicitante;2001-04;6;86,00;3,83977647
DCN3-5522;SP9004303A1;Recebida no Solicitante;1999-02;100;3,20;5,09956078
DCN4-6168;SP1096327A1;Recebida no Solicitante;2001-04;28;39,00;3,83977647
DCN3-7645;RF0215059F3;Recebida no Solicitante;2000-08;200;0,90;4,08612747
DCN3-11281;CSG105002CF;Mapa Aprovado;2013-04;50;32,51;1,48238232
DCN4-8269;LS4139027U7;Recebida no Solicitante;2004-05;100;1,40;2,49171686
DCN4-8269;LS4139008C3;Recebida no Solicitante;2004-05;100;15,90;2,49171686
DCN4-8269;LS4138105T1;Recebida no Solicitante;2004-05;50;19,00;2,49171686
DCN4-8269;AF9093231A7;Recebida no Solicitante;1999-04;76;4,88;4,78642505
DCN4-7425;SP1151317A3;Recebida no Solicitante;2001-06;24;0,10;3,76934254
DCN4-7521;RFC212009F3;Recebida no Solicitante;2009-07;50;17,00;1,87649440
DCN4-7521;RF4208032T1;Recebida no Solicitante;2004-07;100;9,68;2,42601839
DCN4-7521;RF2282023F3;Recebida no Solicitante;2002-10;300;4,00;3,19184126
DCN4-7521;RF2267055T1;Recebida no Solicitante;2002-09;100;4,25;3,26844545
DCN4-7521;RF9098105F3;Recebida no Solicitante;1999-04;300;0,81;4,78642505
DCN4-10417-8;LS5074001T1;Recebida no Solicitante;2005-03;21;30,00;2,28854059
DCN4-10417-8;LS4178001CF;Recebida no Solicitante;2004-06;20;43,50;2,45949745
DCN2-9573;SP1181001CF;Recebida no Solicitante;2001-06;100;294,00;3,76934254
DCN4-7134;RF2080011F3;Recebida no Solicitante;2002-03;300;1,82;3,51343468
DCN4-6299;SP1305316F2;Recebida no Solicitante;2001-11;600;4,80;3,57485630
DCN2-9834;LSE119110T9;Recebida no Solicitante;2011-04;20;645,00;1,65363667
DCN2-9834;LSD159007T9;Recebida Parcialmente no Solicitant;2010-06;20;467,40;1,79924371
DCN2-9834;LSC119021T9;Recebida Parcialmente no Solicitant;2009-04;35;482,30;1,87049571
DCN4-10245;LS6257081T1;Recebida no Solicitante;2006-09;100;24,00;2,23303880
DCN4-10245;LS5053776T1;Recebida no Solicitante;2005-02;50;99,60;2,29540621
DCN4-10245;LS0246009CF;Recebida no Solicitante;2000-08;30;54,70;4,08612747
DCN4-7665;RF2130014F3;Recebida no Solicitante;2002-05;50;2,10;3,49072735
DCN4-6986;AF5118230A7;Recebida no Solicitante;2005-04;40;190,00;2,26925194
DCN4-7979-15;AF3107609GP;Recebida no Solicitante;2003-04;10;59,00;2,64972323
DCN4-7979-15;AF2240383GP;Recebida no Solicitante;2002-08;10;53,00;3,34427339
DCN4-7979-15;AF0404923GP;Recebida no Solicitante;2000-09;1;157,90;3,99074858
DCN4-4678;SP2177301F2;Recebida no Solicitante;2002-06;100;3,70;3,46199281
DCN3-1120;RF2116014F3;Recebida no Solicitante;2002-04;70;74,00;3,51027543
DCN4-1606;RF2116006F3;Recebida no Solicitante;2002-04;100;5,20;3,51027543
DCN4-6788;RFB083040R1;Recebida no Solicitante;2008-03;100;2,60;2,00245848
DCN4-527;LSA124092T1;Recebida no Solicitante;2007-05;500;3,50;2,16762825
DCN4-3807;LSA107088U8;Recebida no Solicitante;2007-04;100;2,10;2,16849530
DCN4-4070;RF3139310R1;Recebida no Solicitante;2003-05;100;1,20;2,62556800
DCN4-4070;AF3126646S2;Recebida no Solicitante;2003-05;16;1,20;2,62556800
DCN4-4070;SP2192349A1;Recebida no Solicitante;2002-08;10;85,00;3,34427339
DCN4-4070;SP2109353A1;Recebida no Solicitante;2002-04;10;85,00;3,51027543
DCN4-4063;CP9109006S2;Recebida no Solicitante;1999-04;551;4,10;4,78642505
DCN4-4063;AF9101805S2;Recebida no Solicitante;1999-04;149;0,00;4,78642505
DCN4-4063;AF9097620S2;Recebida no Solicitante;1999-04;149;0,00;4,78642505
DCN4-4063;AF9097621S2;Recebida no Solicitante;1999-04;53;0,00;4,78642505
DCN4-4063;AF8259674S2;Recebida no Solicitante;1998-09;200;0,00;5,14900486
DCN4-2807;AFC246043A7;Recebida no Solicitante;2009-09;200;4,52;1,89140724
DCN4-2807;RF1249026F3;Recebida no Solicitante;2001-09;30;0,30;3,62825242
DCN4-7676;LSB268010GL;Recebida no Solicitante;2008-09;30;833,00;1,87818620
DCN4-7676;LS2109317GL;Recebida no Solicitante;2002-04;20;298,00;3,51027543
DCN4-3501;GL3267050A5;Recebida no Solicitante;2003-09;100;0,38;2,66010880
DCN4-3501;AF3107214A7;Recebida no Solicitante;2003-04;100;0,05;2,64972323
DCN4-3501;SP2192304A1;Recebida no Solicitante;2002-07;50;0,07;3,40948672
DCN4-3501;SP2109319A1;Recebida no Solicitante;2002-04;100;0,02;3,51027543
DCN4-3501;RF2071003F3;Recebida no Solicitante;2002-03;400;0,05;3,51343468
DCN4-3501;AF1199016A7;Recebida no Solicitante;2001-07;39;0,00;3,73276148
DCN4-3501;SP1081321A1;Recebida no Solicitante;2001-03;260;0,06;3,86127922
DCN4-3501;AF1078913A7;Recebida no Solicitante;2001-03;0;0,03;3,86127922
DCN4-8959;RF2287068F3;Recebida no Solicitante;2002-10;35;27,60;3,19184126
DCN4-8959;RF2263072A7;Recebida no Solicitante;2002-09;12;46,60;3,26844545
